target,target_applicability_N50,R_attempted_N50,R_point_N50,R_inference_N50,mean_truth_N50,mean_estimate_N50,bias_N50,RMSE_N50,MC_SD_error_point_set_N50,MC_SD_error_inference_set_N50,Mean_SE_N50,SE_over_SD_same_inference_set_N50,coverage_95pct_N50,coverage_MC_SE_N50,rejection_probability_zero_N50,power_nonzero_truth_N50,mean_interval_length_N50,point_retention_rate_N50,inference_retention_rate_N50,numerical_failure_count_N50,boundary_active_count_N50,Riesz_failure_count_N50,Gram_failure_count_N50,split_fit_failure_count_N50,variance_failure_count_N50,extreme_standardized_error_count_N50,target_applicability_N100,R_attempted_N100,R_point_N100,R_inference_N100,mean_truth_N100,mean_estimate_N100,bias_N100,RMSE_N100,MC_SD_error_point_set_N100,MC_SD_error_inference_set_N100,Mean_SE_N100,SE_over_SD_same_inference_set_N100,coverage_95pct_N100,coverage_MC_SE_N100,rejection_probability_zero_N100,power_nonzero_truth_N100,mean_interval_length_N100,point_retention_rate_N100,inference_retention_rate_N100,numerical_failure_count_N100,boundary_active_count_N100,Riesz_failure_count_N100,Gram_failure_count_N100,time_split_failure_count,unit_split_failure_count,split_fit_failure_count_N100,variance_failure_count_N100,extreme_standardized_error_count_N100
A_G1_fixed_time,theorem_covered,1000,889,868,0.497524372388916,0.4623974911217349,-0.0351268812671811,0.1395819108158351,0.1351656870433467,0.1346598713967625,0.0995787429203781,0.739483425073078,0.8306451612903226,0.012730536662973,0.9320276497695852,0.9320276497695852,0.3903486722478824,0.889,0.868,111,21,0,0,0,0,0,theorem_covered,1000,1000,999,0.49985981630073245,0.4849517775060287,-0.014908038794703718,0.0866335419918116,0.08538390591166069,0.08542573461435506,0.07610955505861525,0.8909441095496965,0.9079079079079079,0.009148488044463601,0.990990990990991,0.990990990990991,0.29834945582977174,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G1_time_average,theorem_covered,1000,889,0,0.4978164889890055,0.4658595606803259,-0.0319569283086796,0.0445553528598776,0.0310647664248476,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0,theorem_covered,1000,1000,972,0.4972808325789817,0.48099454147085835,-0.016286291108123345,0.020341536738727965,0.0121935852954264,0.012134397335770158,0.012452257246057995,1.02619494825267,0.7561728395061729,0.013772679623503604,1.0,1.0,0.04881284840454734,1.0,0.972,0,26,0,0,0,0,2,0,0
A_G2_fixed_time,theorem_covered,1000,889,868,0.4978762396766019,0.4640885007035915,-0.0337877389730104,0.1405330755187768,0.1364876876883027,0.1356096513905088,0.0998351881415157,0.7361953011296,0.8341013824884793,0.0126261499097292,0.9320276497695852,0.9320276497695852,0.3913539375147417,0.889,0.868,111,21,0,0,0,0,0,theorem_covered,1000,1000,999,0.5001734177127447,0.4855265615372765,-0.014646856175468124,0.08734853321559906,0.08615485196789192,0.08619446482949697,0.07619541486656975,0.8839942914814014,0.9039039039039038,0.00932462251226194,0.990990990990991,0.990990990990991,0.2986860262769534,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G2_minus_G1_fixed_time,weak-target stress diagnostic outside headline Assumption-10 coverage,1000,889,868,0.0003518672876858,0.0016910095818565,0.0013391422941706,0.031471947432644,0.0314611437006614,0.0313585826621518,0.0252440401496513,0.8050121531838105,0.9101382488479264,0.0097069157274616,0.0910138248847926,0.0910138248847926,0.0989566373866334,0.889,0.868,111,21,0,0,0,0,0,weak-target stress diagnostic outside headline Assumption-10 coverage,1000,1000,999,0.00031360141201222387,0.0005747840312478111,0.0002611826192355874,0.014350062495033901,0.01435486465941696,0.014357003812897286,0.012909972754025216,0.899210790933122,0.9419419419419419,0.00739878787468595,0.10710710710710711,0.10710710710710711,0.05060709319577884,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G2_minus_G1_time_average,theorem_covered,1000,889,0,0.0003166022884578,0.0016488707113788,0.0013322684229209,0.0396295122377167,0.0396294067750527,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0,theorem_covered,1000,1000,972,0.00037040186072891026,0.0005591276150953507,0.00018872575436644024,0.014675494493833676,0.014681623592078665,0.014659441897361186,0.015650252495980004,1.0675885620718735,0.9619341563786008,0.006137722796136391,0.06893004115226338,0.06893004115226338,0.061348989784241616,1.0,0.972,0,26,0,0,0,0,2,0,0
A_G2_time_average,theorem_covered,1000,889,0,0.4981330912774633,0.4675084313917046,-0.0306246598857586,0.0457879232848753,0.0340583165697676,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0,theorem_covered,1000,1000,972,0.4976512344397106,0.48155366908595376,-0.0160975653537569,0.019863241009909962,0.01164269235978857,0.011669503219049068,0.012464037669045268,1.0680863988022402,0.7757201646090535,0.013378718698759286,1.0,1.0,0.04885902766265745,1.0,0.972,0,26,0,0,0,0,2,0,0
A_entry,theorem_covered,1000,889,868,0.4954077399106275,0.4546602230119587,-0.0407475168986687,0.1766501828556962,0.1719831337186833,0.1721268564289114,0.1332946615174095,0.7743978149770043,0.8202764976958525,0.0130323491974131,0.8790322580645161,0.8790322580645161,0.5225150731482455,0.889,0.868,111,21,0,0,0,0,0,theorem_covered,1000,1000,999,0.4980103035903442,0.4806216324779177,-0.017388671112426472,0.11340008177361295,0.11211504112139288,0.11216172217880761,0.09901551209125743,0.8827923659500113,0.8938938938938938,0.009743846411761728,0.987987987987988,0.987987987987988,0.3881408073977291,1.0,0.999,0,1,0,0,0,0,0,0,0
A_fixed_time_mean,theorem_covered,1000,889,868,0.497700306032759,0.4632429959126632,-0.0344573101200958,0.1391715010412772,0.1349143247822906,0.1342229081817974,0.0988397908667029,0.7363854069741202,0.8283410138248848,0.0127990575438088,0.9320276497695852,0.9320276497695852,0.3874519801974753,0.889,0.868,111,21,0,0,0,0,0,theorem_covered,1000,1000,999,0.5000166170067386,0.4852391695216526,-0.014777447485085922,0.08669537100144939,0.08546940632953293,0.08551017519103746,0.07586225521898195,0.8871722581493818,0.9039039039039038,0.00932462251226194,0.990990990990991,0.990990990990991,0.2973800404584092,1.0,0.999,0,1,0,0,0,0,0,0,0
A_full_mean,theorem_covered,1000,889,0,0.4979747901332344,0.4666839960360153,-0.0312907940972191,0.0405984252595477,0.0258818826587784,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0,theorem_covered,1000,1000,972,0.4974660335093461,0.481274105278406,-0.016191928230940136,0.018716855919084247,0.009393103110574735,0.009380066250050905,0.009693797973324968,1.0334466425833997,0.6111111111111112,0.015636506330834014,1.0,1.0,0.037999688055433876,1.0,0.972,0,26,0,0,0,0,2,0,0
B_G1_fixed_time,theorem_covered,1000,889,868,0.6014536008280206,0.6105510768393484,0.0090974760113278,0.2657662282235632,0.2657599875468137,0.2642972288694136,0.1906740501614494,0.7214379468793423,0.8433179723502304,0.0123380182115534,0.8099078341013825,0.8099078341013825,0.7474422766328818,0.889,0.868,111,21,0,0,0,0,0,theorem_covered,1000,1000,999,0.6027935827042192,0.595897711582049,-0.006895871122170169,0.17856466113773967,0.17852074059762843,0.17860903277193496,0.15002823114475378,0.8399812082086807,0.8998998998998999,0.009495801193177453,0.8948948948948949,0.8948948948948949,0.5881106660874348,1.0,0.999,0,1,0,0,0,0,0,0,0
