target,R_attempted,R_point,R_inference,point_retention_rate,inference_retention_rate
A_G1_fixed_time,1000,1000,999,1.0,0.999
A_G1_time_average,1000,1000,972,1.0,0.972
A_G2_fixed_time,1000,1000,999,1.0,0.999
A_G2_minus_G1_fixed_time,1000,1000,999,1.0,0.999
A_G2_minus_G1_time_average,1000,1000,972,1.0,0.972
A_G2_time_average,1000,1000,972,1.0,0.972
A_entry,1000,1000,999,1.0,0.999
A_fixed_time_mean,1000,1000,999,1.0,0.999
A_full_mean,1000,1000,972,1.0,0.972
B_G1_fixed_time,1000,1000,999,1.0,0.999
B_G1_time_average,1000,1000,972,1.0,0.972
B_G2_fixed_time,1000,1000,999,1.0,0.999
B_G2_minus_G1_fixed_time,1000,1000,999,1.0,0.999
B_G2_minus_G1_time_average,1000,1000,972,1.0,0.972
B_G2_time_average,1000,1000,972,1.0,0.972
B_entry,1000,1000,999,1.0,0.999
B_fixed_time_mean,1000,1000,999,1.0,0.999
B_full_mean,1000,1000,972,1.0,0.972
