target,target_applicability,R_attempted,R_point,R_inference,mean_truth,mean_estimate,bias,RMSE,MC_SD_error_point_set,MC_SD_error_inference_set,Mean_SE,SE_over_SD_same_inference_set,coverage_95pct,coverage_MC_SE,rejection_probability_zero,power_nonzero_truth,mean_interval_length,point_retention_rate,inference_retention_rate,numerical_failure_count,boundary_active_count,Riesz_failure_count,Gram_failure_count,split_fit_failure_count,variance_failure_count,extreme_standardized_error_count
A_G1_fixed_time,theorem_covered,1000,889,868,0.49752437238891606,0.4623974911217349,-0.035126881267181186,0.13958191081583515,0.13516568704334672,0.13465987139676253,0.09957874292037816,0.739483425073078,0.8306451612903226,0.012730536662973017,0.9320276497695853,0.9320276497695853,0.3903486722478824,0.889,0.868,111,21,0,0,0,0,0
A_G1_time_average,theorem_covered,1000,889,0,0.4978164889890055,0.4658595606803259,-0.031956928308679626,0.044555352859877675,0.03106476642484768,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
A_G2_fixed_time,theorem_covered,1000,889,868,0.49787623967660194,0.4640885007035915,-0.033787738973010496,0.14053307551877686,0.13648768768830277,0.13560965139050887,0.09983518814151575,0.7361953011296,0.8341013824884793,0.012626149909729299,0.9320276497695853,0.9320276497695853,0.39135393751474173,0.889,0.868,111,21,0,0,0,0,0
A_G2_minus_G1_fixed_time,weak-target stress diagnostic outside headline Assumption-10 coverage,1000,889,868,0.0003518672876858802,0.0016910095818565756,0.001339142294170695,0.03147194743264407,0.031461143700661436,0.03135858266215187,0.025244040149651384,0.8050121531838105,0.9101382488479263,0.009706915727461636,0.09101382488479262,0.09101382488479262,0.09895663738663342,0.889,0.868,111,21,0,0,0,0,0
A_G2_minus_G1_time_average,theorem_covered,1000,889,0,0.00031660228845783046,0.0016488707113788137,0.0013322684229209827,0.0396295122377167,0.03962940677505277,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
A_G2_time_average,theorem_covered,1000,889,0,0.4981330912774633,0.46750843139170467,-0.03062465988575864,0.04578792328487537,0.03405831656976761,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
A_entry,theorem_covered,1000,889,868,0.4954077399106275,0.4546602230119587,-0.04074751689866873,0.17665018285569623,0.17198313371868335,0.17212685642891146,0.13329466151740957,0.7743978149770043,0.8202764976958525,0.013032349197413196,0.8790322580645161,0.8790322580645161,0.5225150731482455,0.889,0.868,111,21,0,0,0,0,0
A_fixed_time_mean,theorem_covered,1000,889,868,0.497700306032759,0.4632429959126632,-0.034457310120095834,0.1391715010412772,0.13491432478229062,0.13422290818179747,0.0988397908667029,0.7363854069741202,0.8283410138248848,0.012799057543808895,0.9320276497695853,0.9320276497695853,0.38745198019747534,0.889,0.868,111,21,0,0,0,0,0
A_full_mean,theorem_covered,1000,889,0,0.4979747901332344,0.4666839960360153,-0.03129079409721913,0.04059842525954777,0.02588188265877843,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
B_G1_fixed_time,theorem_covered,1000,889,868,0.6014536008280206,0.6105510768393484,0.00909747601132788,0.2657662282235632,0.26575998754681374,0.26429722886941365,0.19067405016144942,0.7214379468793423,0.8433179723502304,0.012338018211553463,0.8099078341013825,0.8099078341013825,0.7474422766328818,0.889,0.868,111,21,0,0,0,0,0
B_G1_time_average,theorem_covered,1000,889,0,0.5956446431701712,0.6306449054236448,0.03500026225347359,0.08170449542390064,0.07386977923835857,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
B_G2_fixed_time,theorem_covered,1000,889,868,0.6042412443642358,0.6158318379963571,0.011590593632121447,0.2730012852388245,0.2729086631818967,0.2719599189778019,0.19109531999900833,0.7026598651641973,0.8433179723502304,0.012338018211553463,0.8099078341013825,0.8099078341013825,0.7490936543961126,0.889,0.868,111,21,0,0,0,0,0
B_G2_minus_G1_fixed_time,weak-target stress diagnostic outside headline Assumption-10 coverage,1000,889,868,0.002787643536215284,0.005280761157008846,0.0024931176207935615,0.09110161612458428,0.09111875830067809,0.09166747873210322,0.06847461469680295,0.7469891791931896,0.8928571428571429,0.010498149129503843,0.14516129032258066,0.14516129032258066,0.2684204896114676,0.889,0.868,111,21,0,0,0,0,3
B_G2_minus_G1_time_average,theorem_covered,1000,889,0,0.002826533702657325,0.007951867064117237,0.005125333361459911,0.10347990287533694,0.10341107452790158,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
B_G2_time_average,theorem_covered,1000,889,0,0.5984711768728285,0.638596772487762,0.040125595614933535,0.08258306867649043,0.07222026594288956,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
B_entry,theorem_covered,1000,889,868,0.6157381581377217,0.6498017526083282,0.03406359447060656,0.4502074317681256,0.44916961974145814,0.4503646237973731,0.3034424472306259,0.6737706098495648,0.8087557603686636,0.013348824161578343,0.5207373271889401,0.5207373271889401,1.1894943931440536,0.889,0.868,111,21,0,0,0,0,3
B_fixed_time_mean,theorem_covered,1000,889,868,0.6028474225961282,0.6131914574178527,0.010344034821724662,0.2655293181326438,0.26547711329179,0.2642099159663709,0.18787097786182122,0.7110670966858555,0.8398617511520737,0.012447770611928699,0.8099078341013825,0.8099078341013825,0.7364542332183391,0.889,0.868,111,21,0,0,0,0,0
B_full_mean,theorem_covered,1000,889,0,0.5970579100214999,0.6346208389557034,0.03756292893420353,0.06380259655748953,0.051602257363791336,,,,,,,,,0.889,0.0,111,241,0,0,648,0,0
