target,status,count
A_G1_fixed_time,success,868
A_G1_fixed_time,full_fit_failure,111
A_G1_fixed_time,boundary_interiority_failure,21
A_G1_time_average,split_fit_failure,648
A_G1_time_average,boundary_interiority_failure,241
A_G1_time_average,full_fit_failure,111
A_G2_fixed_time,success,868
A_G2_fixed_time,full_fit_failure,111
A_G2_fixed_time,boundary_interiority_failure,21
A_G2_minus_G1_fixed_time,success,868
A_G2_minus_G1_fixed_time,full_fit_failure,111
A_G2_minus_G1_fixed_time,boundary_interiority_failure,21
A_G2_minus_G1_time_average,split_fit_failure,648
A_G2_minus_G1_time_average,boundary_interiority_failure,241
A_G2_minus_G1_time_average,full_fit_failure,111
A_G2_time_average,split_fit_failure,648
A_G2_time_average,boundary_interiority_failure,241
A_G2_time_average,full_fit_failure,111
A_entry,success,868
A_entry,full_fit_failure,111
A_entry,boundary_interiority_failure,21
A_fixed_time_mean,success,868
A_fixed_time_mean,full_fit_failure,111
A_fixed_time_mean,boundary_interiority_failure,21
A_full_mean,split_fit_failure,648
A_full_mean,boundary_interiority_failure,241
A_full_mean,full_fit_failure,111
B_G1_fixed_time,success,868
B_G1_fixed_time,full_fit_failure,111
B_G1_fixed_time,boundary_interiority_failure,21
B_G1_time_average,split_fit_failure,648
B_G1_time_average,boundary_interiority_failure,241
B_G1_time_average,full_fit_failure,111
B_G2_fixed_time,success,868
B_G2_fixed_time,full_fit_failure,111
B_G2_fixed_time,boundary_interiority_failure,21
B_G2_minus_G1_fixed_time,success,868
B_G2_minus_G1_fixed_time,full_fit_failure,111
B_G2_minus_G1_fixed_time,boundary_interiority_failure,21
B_G2_minus_G1_time_average,split_fit_failure,648
B_G2_minus_G1_time_average,boundary_interiority_failure,241
B_G2_minus_G1_time_average,full_fit_failure,111
B_G2_time_average,split_fit_failure,648
B_G2_time_average,boundary_interiority_failure,241
B_G2_time_average,full_fit_failure,111
B_entry,success,868
B_entry,full_fit_failure,111
B_entry,boundary_interiority_failure,21
B_fixed_time_mean,success,868
B_fixed_time_mean,full_fit_failure,111
B_fixed_time_mean,boundary_interiority_failure,21
B_full_mean,split_fit_failure,648
B_full_mean,boundary_interiority_failure,241
B_full_mean,full_fit_failure,111
